Masked ID,Started on,Completed,Grade/40,Q. 1 /5,Q. 2 /2,Q. 3 /5,Q. 4 /1,Q. 5 /1,Q. 6 /1,Q. 7 /1,Q. 8 /1,Q. 9 /1,Q. 10 /1,Q. 11 /1,Q. 12 /1,Q. 13 /1,Q. 14 /1,Q. 15 /1,Q. 16 /1,Q. 17 /1,Q. 18 /1,Q. 19 /1,Q. 20 /1,Q. 21 /1,Q. 22 /1,Q. 23 /1,Q. 24 /1,Q. 25 /1,Q. 26 /1,Q. 27 /1,Q. 28 /1,Q. 29 /1,Q. 30 /1,Q. 31 /1
444613,22/2/20 21:53,22/2/20 22:10,22,4,2,5,1,1,1,1,1,0,1,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,1,1,0
602961,22/2/20 21:53,22/2/20 22:11,24,5,2,4,1,1,1,1,1,1,1,1,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,0
438223,23/2/20 5:44,23/2/20 8:17,33,5,2,5,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1
569122,23/2/20 6:15,23/2/20 23:50,33,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-,-,-,1,1,-,1,-,0
524740,23/2/20 8:17,23/2/20 17:34,34,4,2,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0
523149,23/2/20 9:24,23/2/20 10:04,35,5,2,4,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
462572,23/2/20 10:35,24/2/20 18:08,17,5,2,2,1,1,1,1,1,0,1,0,0,0,0,1,1,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-
541554,23/2/20 11:29,23/2/20 11:55,18,1,1,3,1,1,1,1,0,1,1,1,-,-,-,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-
541554,23/2/20 11:56,23/2/20 17:32,27,4,2,5,1,1,1,1,0,1,1,1,-,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,-,0,0,0
565626,23/2/20 12:15,24/2/20 11:58,32,5,2,5,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
567398,23/2/20 12:26,23/2/20 13:23,27,4,2,4,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,-,0,1,1
603920,23/2/20 12:26,23/2/20 13:42,35,5,2,5,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
601874,23/2/20 13:28,23/2/20 13:50,37,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
540858,23/2/20 14:48,23/2/20 15:35,20,4,2,3,1,1,1,1,1,1,0,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
603920,23/2/20 14:51,23/2/20 15:11,39,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
463453,23/2/20 15:14,23/2/20 16:23,34,5,2,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,1,1,0,1,0,1
638188,23/2/20 15:35,23/2/20 17:43,34,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-,-,-,1,0,1,1,1,0
4502773,23/2/20 15:51,24/2/20 1:36,38,5,2,5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
517239,23/2/20 16:13,23/2/20 16:25,11,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
517239,23/2/20 16:29,23/2/20 16:38,20,5,2,4,1,1,0,-,1,0,0,-,-,-,-,1,1,1,0,0,0,-,0,-,-,-,-,-,-,1,1,1
595977,23/2/20 17:59,23/2/20 20:00,23,5,0,4,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
610194,23/2/20 18:00,23/2/20 18:45,34,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1
587730,23/2/20 18:18,24/2/20 0:05,32,5,2,4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0
591099,23/2/20 19:12,25/2/20 16:41,36,5,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,0,0,1
550382,23/2/20 19:55,23/2/20 22:20,7,5,-,1,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
